Edge{X1=0.9009376869372401, Y1=0.6759259259259259, X2=0.8902460152855804, Y2=0.6759259259259258, hue=15.93749687075615, saturation=1.0, brightness=1.0}
Edge{X1=0.1311373280177391, Y1=0.7685185185185185, X2=0.12579149219190922, Y2=0.7592592592592593, hue=16.406246423721313, saturation=1.0, brightness=1.0}
Edge{X1=0.45723331339336104, Y1=0.07407407407407407, X2=0.45188747756753117, Y2=0.08333333333333333, hue=16.874995976686478, saturation=1.0, brightness=1.0}
Edge{X1=0.8902460152855804, Y1=0.6759259259259258, X2=0.8849001794597505, Y2=0.6666666666666666, hue=17.343745529651642, saturation=1.0, brightness=1.0}
Edge{X1=0.12579149219190922, Y1=0.7592592592592593, X2=0.13113732801773909, Y2=0.75, hue=17.812495082616806, saturation=1.0, brightness=1.0}
Edge{X1=0.8849001794597505, Y1=0.6666666666666666, X2=0.8902460152855803, Y2=0.6574074074074073, hue=18.28124463558197, saturation=1.0, brightness=1.0}
Edge{X1=0.45188747756753117, Y1=0.08333333333333333, X2=0.44119580591587143, Y2=0.08333333333333333, hue=18.749994188547134, saturation=1.0, brightness=1.0}
Edge{X1=0.13113732801773909, Y1=0.75, X2=0.14182899966939883, Y2=0.75, hue=19.2187437415123, saturation=1.0, brightness=1.0}
Edge{X1=0.44119580591587143, Y1=0.08333333333333333, X2=0.43584997009004156, Y2=0.07407407407407407, hue=19.687493294477463, saturation=1.0, brightness=1.0}
Edge{X1=0.8902460152855803, Y1=0.6574074074074073, X2=0.9009376869372401, Y2=0.6574074074074073, hue=19.2187437415123, saturation=1.0, brightness=1.0}
Edge{X1=0.9009376869372401, Y1=0.6574074074074073, X2=0.8955918511114103, Y2=0.6481481481481481, hue=20.156242847442627, saturation=1.0, brightness=1.0}
Edge{X1=0.43584997009004156, Y1=0.07407407407407407, X2=0.4305041342642117, Y2=0.08333333333333333, hue=20.62499240040779, saturation=1.0, brightness=1.0}
Edge{X1=0.14182899966939883, Y1=0.75, X2=0.1471748354952287, Y2=0.7592592592592593, hue=21.093741953372955, saturation=1.0, brightness=1.0}
Edge{X1=0.4305041342642117, Y1=0.08333333333333333, X2=0.41981246261255195, Y2=0.08333333333333333, hue=21.56249150633812, saturation=1.0, brightness=1.0}
Edge{X1=0.8955918511114103, Y1=0.6481481481481481, X2=0.9009376869372401, Y2=0.6388888888888888, hue=22.031241059303284, saturation=1.0, brightness=1.0}
Edge{X1=0.1471748354952287, Y1=0.7592592592592593, X2=0.15252067132105857, Y2=0.75, hue=22.499990612268448, saturation=1.0, brightness=1.0}
Edge{X1=0.41981246261255195, Y1=0.08333333333333333, X2=0.4144666267867221, Y2=0.07407407407407407, hue=22.968740165233612, saturation=1.0, brightness=1.0}
Edge{X1=0.9009376869372401, Y1=0.6388888888888888, X2=0.9116293585888998, Y2=0.6388888888888888, hue=22.968740165233612, saturation=1.0, brightness=1.0}
Edge{X1=0.15252067132105857, Y1=0.75, X2=0.1632123429727183, Y2=0.75, hue=23.437491059303284, saturation=1.0, brightness=1.0}
Edge{X1=0.9116293585888998, Y1=0.6388888888888888, X2=0.9169751944147297, Y2=0.6481481481481481, hue=23.906241953372955, saturation=1.0, brightness=1.0}
Edge{X1=0.4144666267867221, Y1=0.07407407407407407, X2=0.41981246261255195, Y2=0.06481481481481483, hue=23.906241953372955, saturation=1.0, brightness=1.0}
Edge{X1=0.9169751944147297, Y1=0.6481481481481481, X2=0.9223210302405596, Y2=0.6388888888888888, hue=24.374992847442627, saturation=1.0, brightness=1.0}
Edge{X1=0.41981246261255195, Y1=0.06481481481481483, X2=0.4091207909608922, Y2=0.06481481481481483, hue=24.8437437415123, saturation=1.0, brightness=1.0}
Edge{X1=0.4091207909608922, Y1=0.06481481481481483, X2=0.40377495513506234, Y2=0.055555555555555566, hue=25.31249463558197, saturation=1.0, brightness=1.0}
Edge{X1=0.9223210302405596, Y1=0.6388888888888888, X2=0.9330127018922193, Y2=0.6388888888888888, hue=25.781245529651642, saturation=1.0, brightness=1.0}
Edge{X1=0.9330127018922193, Y1=0.6388888888888888, X2=0.9276668660663895, Y2=0.6296296296296295, hue=26.718747317790985, saturation=1.0, brightness=1.0}
Edge{X1=0.40377495513506234, Y1=0.055555555555555566, X2=0.39842911930923247, Y2=0.06481481481481483, hue=26.718747317790985, saturation=1.0, brightness=1.0}
